match_no,,Player,Team,Opp_Team,,,,Role,,,Dream11_ Points
1,,MS Dhoni,CSK,MI,,,,WK,,,20
1,,Watson,CSK,MI,,,,BAT,,,17
1,,Rayudu,CSK,MI,,,,BAT,,,95
1,,Du Plesis,CSK,MI,,,,BAT,,,100
1,,Vijay,CSK,MI,,,,BAT,,,5
1,,Jadeja,CSK,MI,,,,ALL,,,62
1,,Sam Curran,CSK,MI,,,,ALL,,,68
1,,Piyush Chawla,CSK,MI,,,,BALL,,,31
1,,Deepak Chahar,CSK,MI,,,,BALL,,,54
1,,Ngidi,CSK,MI,,,,BALL,,,77
1,,Jadhav,CSK,MI,,,,BAT,,,4
1,,Rohit Sharma,MI,CSK,,,,BAT,,,18
1,,De Kock,MI,CSK,,,,WK,,,42
1,,S.Yadav,MI,CSK,,,,BAT,,,23
1,,Saurabh Tiwary,MI,CSK,,,,BAT,,,51
1,,Hardik Pandya,MI,CSK,,,,ALL,,,22
1,,Kieron Pollard,MI,CSK,,,,ALL,,,25
1,,Krunal Pandya,MI,CSK,,,,ALL,,,30
1,,Pattinson,MI,CSK,,,,BALL,,,50
1,,Rahul Chahar,MI,CSK,,,,BALL,,,37
1,,Boult,MI,CSK,,,,BALL,,,29
1,,Bumrah,MI,CSK,,,,BALL,,,30
2,,P.Shaw,DC,KXIP,,,,BAT,,,26
2,,Shikhar Dhawan,DC,KXIP,,,,BAT,,,2
2,,Hetmeyer,DC,KXIP,,,,BAT,,,16
2,,Shreyas Iyer,DC,KXIP,,,,BAT,,,57
2,,Rishabh Pant,DC,KXIP,,,,WK,,,47
2,,Marcus Stoinis,DC,KXIP,,,,ALL,,,126
2,,Axar Patel,DC,KXIP,,,,ALL,,,41
2,,Ashwin,DC,KXIP,,,,BALL,,,58
2,,Rabada,DC,KXIP,,,,BALL,,,62
2,,Nortje,DC,KXIP,,,,BALL,,,7
2,,Mohit Sharma,DC,KXIP,,,,BALL,,,23
2,,KL Rahul,KXIP,DC,,,,WK,,,49
2,,Mayank Agarwal,KXIP,DC,,,,BAT,,,124
2,,Karun Nair,KXIP,DC,,,,BAT,,,5
2,,Nicolas Pooran,KXIP,DC,,,,WK,,,8
2,,Glenn Maxwell,KXIP,DC,,,,ALL,,,5
2,,Sarfaraz Khan,KXIP,DC,,,,BAT,,,18
2,,Gowtham,KXIP,DC,,,,ALL,,,31
2,,Chris Jordan,KXIP,DC,,,,BALL,,,19
2,,Mohammed Shami,KXIP,DC,,,,BALL,,,93
2,,Sheldon Cottrell,KXIP,DC,,,,BALL,,,56
2,,Ravi Bishnoi,KXIP,DC,,,,BALL,,,31
3,,Aaron Finch,RCB,SRH,,,,BAT,,,38
3,,Devdutt Padikkal,RCB,SRH,,,,BAT,,,76
3,,Virat Kohli,RCB,SRH,,,,BAT,,,34
3,,AB de Villiers,RCB,SRH,,,,BAT,,,71
3,,Josh Phillipe,RCB,SRH,,,,WK,,,11
3,,Shivam Dube,RCB,SRH,,,,ALL,,,63
3,,Umesh Yadav,RCB,SRH,,,,BALL,,,16
3,,W Sundar,RCB,SRH,,,,ALL,,,4
3,,Navdeep Saini,RCB,SRH,,,,BALL,,,62
3,,Dale Steyn,RCB,SRH,,,,BALL,,,27
3,,Y Chahal,RCB,SRH,,,,BALL,,,83
3,,Warner,SRH,RCB,,,,BAT,,,11
3,,Bairstow,SRH,RCB,,,,WK,,,101
3,,Manish Pandey,SRH,RCB,,,,BAT,,,49
3,,Vijay Shankar,SRH,RCB,,,,ALL,,,27
3,,Mitchell Marsh,SRH,RCB,,,,ALL,,,2
3,,Priyam Garg,SRH,RCB,,,,BAT,,,17
3,,Abhishek Sharma,SRH,RCB,,,,BAT,,,37
3,,Rashid Khan,SRH,RCB,,,,BALL,,,19
3,,Bhuvaneshwar Kumar,SRH,RCB,,,,BALL,,,4
3,,Sandeep Sharma,SRH,RCB,,,,BALL,,,12
3,,Natarajan,SRH,RCB,,,,BALL,,,32
4,,Yashasvi Jaiswal,RR,CSK,,,,BAT,,,11
4,,Steve Smith,RR,CSK,,,,BAT,,,93
4,,Sanju Samson,RR,CSK,,,,WK,,,145
4,,David Miller,RR,CSK,,,,BAT,,,2
4,,Robin Uthappa,RR,CSK,,,,BAT,,,9
4,,Rahul Tewatia,RR,CSK,,,,ALL,,,88
4,,Riyag Parag,RR,CSK,,,,ALL,,,11
4,,Tom Curran,RR,CSK,,,,BALL,,,42
4,,Jofra Archer,RR,CSK,,,,BALL,,,64
4,,Shreyas Gopal,RR,CSK,,,,BALL,,,27
4,,Jaydev Unadkat,RR,CSK,,,,BALL,,,0
4,,MS Dhoni,CSK,RR,,,,WK,,,47
4,,Watson,CSK,RR,,,,BAT,,,46
4,,Rituraj Gaikwad,CSK,RR,,,,BAT,,,8
4,,Du Plesis,CSK,RR,,,,BAT,,,107
4,,Vijay,CSK,RR,,,,BAT,,,28
4,,Jadeja,CSK,RR,,,,ALL,,,3
4,,Sam Curran,CSK,RR,,,,ALL,,,101
4,,Piyush Chawla,CSK,RR,,,,BALL,,,23
4,,Deepak Chahar,CSK,RR,,,,BALL,,,45
4,,Ngidi,CSK,RR,,,,BALL,,,23
4,,Jadhav,CSK,RR,,,,BAT,,,43
5,,Rohit Sharma,MI,KKR,,,,BAT,,,107
5,,De Kock,MI,KKR,,,,WK,,,33
5,,S.Yadav,MI,KKR,,,,BAT,,,59
5,,Saurabh Tiwary,MI,KKR,,,,BAT,,,28
5,,Hardik Pandya,MI,KKR,,,,ALL,,,50
5,,Kieron Pollard,MI,KKR,,,,ALL,,,51
5,,Krunal Pandya,MI,KKR,,,,ALL,,,5
5,,Pattinson,MI,KKR,,,,BALL,,,54
5,,Rahul Chahar,MI,KKR,,,,BALL,,,54
5,,Boult,MI,KKR,,,,BALL,,,62
5,,Bumrah,MI,KKR,,,,BALL,,,54
5,,Sunil Narine,KKR,MI,,,,ALL,,,48
5,,Shubman Gill,KKR,MI,,,,BAT,,,10
5,,Nitish Rana,KKR,MI,,,,ALL,,,32
5,,Eoin Morgan,KKR,MI,,,,BAT,,,29
5,,Dinesh Karthik,KKR,MI,,,,WK,,,39
5,,Andre Russell,KKR,MI,,,,ALL,,,42
5,,Nikhil Naik,KKR,MI,,,,BAT,,,13
5,,Pat Cummins,KKR,MI,,,,BALL,,,56
5,,Kuldeep Yadav,KKR,MI,,,,BALL,,,3
5,,Sandeep Warrier,KKR,MI,,,,BALL,,,-2
5,,Shivam Mavi,KKR,MI,,,,BALL,,,72
6,,KL Rahul,KXIP,RCB,,,,WK,,,180
6,,Mayank Agarwal,KXIP,RCB,,,,BAT,,,42
6,,Nicolas Pooran,KXIP,RCB,,,,WK,,,22
6,,Glenn Maxwell,KXIP,RCB,,,,ALL,,,36
6,,Karun Nair,KXIP,RCB,,,,BAT,,,21
6,,Sarfaraz Khan,KXIP,RCB,,,,BAT,,,12
6,,James Neesham,KXIP,RCB,,,,ALL,,,4
6,,Murugan Ashwin,KXIP,RCB,,,,BALL,,,79
6,,Mohammed Shami,KXIP,RCB,,,,BALL,,,33
6,,Sheldon Cottrell,KXIP,RCB,,,,BALL,,,56
6,,Ravi Bishnoi,KXIP,RCB,,,,BALL,,,95
6,,Aaron Finch,RCB,KXIP,,,,BAT,,,35
6,,Devdutt Padikkal,RCB,KXIP,,,,BAT,,,5
6,,Virat Kohli,RCB,KXIP,,,,BAT,,,5
6,,AB de Villiers,RCB,KXIP,,,,BAT,,,46
6,,Josh Phillipe,RCB,KXIP,,,,WK,,,2
6,,Shivam Dube,RCB,KXIP,,,,ALL,,,64
6,,Umesh Yadav,RCB,KXIP,,,,BALL,,,-2
6,,W Sundar,RCB,KXIP,,,,ALL,,,38
6,,Navdeep Saini,RCB,KXIP,,,,BALL,,,9
6,,Dale Steyn,RCB,KXIP,,,,BALL,,,-1
6,,Y Chahal,RCB,KXIP,,,,BALL,,,30
7,,MS Dhoni,CSK,DC,,,,WK,,,41
7,,Watson,CSK,DC,,,,BAT,,,21
7,,Rituraj Gaikwad,CSK,DC,,,,BAT,,,5
7,,Du Plesis,CSK,DC,,,,BAT,,,51
7,,Vijay,CSK,DC,,,,BAT,,,13
7,,Jadeja,CSK,DC,,,,ALL,,,13
7,,Sam Curran,CSK,DC,,,,ALL,,,30
7,,Piyush Chawla,CSK,DC,,,,BALL,,,54
7,,Deepak Chahar,CSK,DC,,,,BALL,,,2
7,,Josh Hazlewood,CSK,DC,,,,BALL,,,4
7,,Jadhav,CSK,DC,,,,BAT,,,33
7,,P.Shaw,DC,CSK,,,,BAT,,,87
7,,Shikhar Dhawan,DC,CSK,,,,BAT,,,44
7,,Hetmeyer,DC,CSK,,,,BAT,,,12
7,,Shreyas Iyer,DC,CSK,,,,BAT,,,31
7,,Rishabh Pant,DC,CSK,,,,WK,,,68
