Player,Team,Role,Average_Fantasy_Points
MS Dhoni,CSK,WK,30.714285714285715
Watson,CSK,BAT,31.0
Rayudu,CSK,BAT,35.5
Du Plesis,CSK,BAT,49.785714285714285
Vijay,CSK,BAT,3.2857142857142856
Jadeja,CSK,ALL,38.142857142857146
Sam Curran,CSK,ALL,46.357142857142854
Piyush Chawla,CSK,BALL,11.857142857142858
Deepak Chahar,CSK,BALL,28.928571428571427
Ngidi,CSK,BALL,16.5
Jadhav,CSK,BAT,7.5
Rohit Sharma,MI,BAT,29.0
De Kock,MI,WK,55.214285714285715
S.Yadav,MI,BAT,44.142857142857146
Hardik Pandya,MI,ALL,27.785714285714285
Kieron Pollard,MI,ALL,36.285714285714285
Krunal Pandya,MI,ALL,22.785714285714285
Pattinson,MI,BALL,23.142857142857142
Rahul Chahar,MI,BALL,32.642857142857146
Boult,MI,BALL,42.714285714285715
Bumrah,MI,BALL,47.57142857142857
P.Shaw,DC,BAT,25.785714285714285
Shikhar Dhawan,DC,BAT,52.92857142857143
Hetmeyer,DC,BAT,18.428571428571427
Shreyas Iyer,DC,BAT,42.5
Rishabh Pant,DC,WK,34.214285714285715
Marcus Stoinis,DC,ALL,40.214285714285715
Axar Patel,DC,ALL,28.785714285714285
Ashwin,DC,BALL,25.428571428571427
Rabada,DC,BALL,55.714285714285715
Nortje,DC,BALL,39.285714285714285
Mohit Sharma,DC,BALL,1.6428571428571428
KL Rahul,KXIP,WK,69.71428571428571
Mayank Agarwal,KXIP,BAT,44.42857142857143
Karun Nair,KXIP,BAT,2.9285714285714284
Sarfaraz Khan,KXIP,BAT,5.285714285714286
Mohammed Shami,KXIP,BALL,41.285714285714285
Sheldon Cottrell,KXIP,BALL,12.571428571428571
Ravi Bishnoi,KXIP,BALL,28.857142857142858
Aaron Finch,RCB,BAT,25.071428571428573
Devdutt Padikkal,RCB,BAT,50.357142857142854
Virat Kohli,RCB,BAT,42.92857142857143
Umesh Yadav,RCB,BALL,1.0
W Sundar,RCB,ALL,29.0
Warner,SRH,BAT,56.142857142857146
Bairstow,SRH,WK,39.714285714285715
Manish Pandey,SRH,BAT,40.92857142857143
Vijay Shankar,SRH,ALL,19.357142857142858
Mitchell Marsh,SRH,ALL,0.14285714285714285
Priyam Garg,SRH,BAT,16.714285714285715
Abhishek Sharma,SRH,BAT,12.357142857142858
Rashid Khan,SRH,BALL,44.785714285714285
Bhuvaneshwar Kumar,SRH,BALL,6.357142857142857
Sandeep Sharma,SRH,BALL,27.142857142857142
Natarajan,SRH,BALL,31.071428571428573
Yashasvi Jaiswal,RR,BAT,5.428571428571429
Steve Smith,RR,BAT,32.642857142857146
Sanju Samson,RR,WK,44.714285714285715
David Miller,RR,BAT,0.14285714285714285
Robin Uthappa,RR,BAT,21.071428571428573
Rahul Tewatia,RR,ALL,49.857142857142854
Riyag Parag,RR,ALL,10.714285714285714
Tom Curran,RR,BALL,13.071428571428571
Jofra Archer,RR,BALL,54.142857142857146
Shreyas Gopal,RR,BALL,24.714285714285715
Jaydev Unadkat,RR,BALL,8.928571428571429
MS Dhoni,CSK,WK,30.714285714285715
Watson,CSK,BAT,31.0
Rituraj Gaikwad,CSK,BAT,21.928571428571427
Du Plesis,CSK,BAT,49.785714285714285
Vijay,CSK,BAT,3.2857142857142856
Jadeja,CSK,ALL,38.142857142857146
Sam Curran,CSK,ALL,46.357142857142854
Piyush Chawla,CSK,BALL,11.857142857142858
Deepak Chahar,CSK,BALL,28.928571428571427
Ngidi,CSK,BALL,16.5
Jadhav,CSK,BAT,7.5
Rohit Sharma,MI,BAT,29.0
De Kock,MI,WK,55.214285714285715
S.Yadav,MI,BAT,44.142857142857146
Hardik Pandya,MI,ALL,27.785714285714285
Kieron Pollard,MI,ALL,36.285714285714285
Krunal Pandya,MI,ALL,22.785714285714285
Pattinson,MI,BALL,23.142857142857142
Rahul Chahar,MI,BALL,32.642857142857146
Boult,MI,BALL,42.714285714285715
Bumrah,MI,BALL,47.57142857142857
Sunil Narine,KKR,ALL,23.571428571428573
Shubman Gill,KKR,BAT,45.42857142857143
Nitish Rana,KKR,ALL,36.214285714285715
Eoin Morgan,KKR,BAT,42.0
Dinesh Karthik,KKR,WK,23.357142857142858
Andre Russell,KKR,ALL,24.0
Nikhil Naik,KKR,BAT,0.9285714285714286
Pat Cummins,KKR,BALL,41.642857142857146
Kuldeep Yadav,KKR,BALL,4.214285714285714
Sandeep Warrier,KKR,BALL,-0.14285714285714285
Shivam Mavi,KKR,BALL,22.0
KL Rahul,KXIP,WK,69.71428571428571
Mayank Agarwal,KXIP,BAT,44.42857142857143
Karun Nair,KXIP,BAT,2.9285714285714284
Sarfaraz Khan,KXIP,BAT,5.285714285714286
James Neesham,KXIP,ALL,6.5
Murugan Ashwin,KXIP,BALL,23.0
Mohammed Shami,KXIP,BALL,41.285714285714285
Sheldon Cottrell,KXIP,BALL,12.571428571428571
Ravi Bishnoi,KXIP,BALL,28.857142857142858
Aaron Finch,RCB,BAT,25.071428571428573
Devdutt Padikkal,RCB,BAT,50.357142857142854
Virat Kohli,RCB,BAT,42.92857142857143
Umesh Yadav,RCB,BALL,1.0
W Sundar,RCB,ALL,29.0
MS Dhoni,CSK,WK,30.714285714285715
Watson,CSK,BAT,31.0
Rituraj Gaikwad,CSK,BAT,21.928571428571427
Du Plesis,CSK,BAT,49.785714285714285
Vijay,CSK,BAT,3.2857142857142856
Jadeja,CSK,ALL,38.142857142857146
Sam Curran,CSK,ALL,46.357142857142854
Piyush Chawla,CSK,BALL,11.857142857142858
Deepak Chahar,CSK,BALL,28.928571428571427
Josh Hazlewood,CSK,BALL,2.9285714285714284
Jadhav,CSK,BAT,7.5
P.Shaw,DC,BAT,25.785714285714285
Shikhar Dhawan,DC,BAT,52.92857142857143
Hetmeyer,DC,BAT,18.428571428571427
Shreyas Iyer,DC,BAT,42.5
Rishabh Pant,DC,WK,34.214285714285715
Marcus Stoinis,DC,ALL,40.214285714285715
Axar Patel,DC,ALL,28.785714285714285
Amit Mishra,DC,BALL,6.928571428571429
Rabada,DC,BALL,55.714285714285715
Nortje,DC,BALL,39.285714285714285
Avesh Khan,DC,BALL,0.0
Warner,SRH,BAT,56.142857142857146
Bairstow,SRH,WK,39.714285714285715
Manish Pandey,SRH,BAT,40.92857142857143
W Saha,SRH,WK,22.0
Priyam Garg,SRH,BAT,16.714285714285715
Abhishek Sharma,SRH,BAT,12.357142857142858
Rashid Khan,SRH,BALL,44.785714285714285
Bhuvaneshwar Kumar,SRH,BALL,6.357142857142857
Khaleel Ahmed,SRH,BALL,16.285714285714285
Natarajan,SRH,BALL,31.071428571428573
Sunil Narine,KKR,ALL,23.571428571428573
Shubman Gill,KKR,BAT,45.42857142857143
Nitish Rana,KKR,ALL,36.214285714285715
Eoin Morgan,KKR,BAT,42.0
Dinesh Karthik,KKR,WK,23.357142857142858
Andre Russell,KKR,ALL,24.0
Kamlesh Nagarkoti,KKR,BALL,14.571428571428571
Pat Cummins,KKR,BALL,41.642857142857146
Kuldeep Yadav,KKR,BALL,4.214285714285714
Varun Chakravarthy,KKR,BALL,37.785714285714285
Shivam Mavi,KKR,BALL,22.0
Steve Smith,RR,BAT,32.642857142857146
Sanju Samson,RR,WK,44.714285714285715
Robin Uthappa,RR,BAT,21.071428571428573
Rahul Tewatia,RR,ALL,49.857142857142854
Riyag Parag,RR,ALL,10.714285714285714
Tom Curran,RR,BALL,13.071428571428571
Jofra Archer,RR,BALL,54.142857142857146
Shreyas Gopal,RR,BALL,24.714285714285715
Jaydev Unadkat,RR,BALL,8.928571428571429
Ankit Rajpoot,RR,BALL,4.928571428571429
KL Rahul,KXIP,WK,69.71428571428571
Mayank Agarwal,KXIP,BAT,44.42857142857143
Karun Nair,KXIP,BAT,2.9285714285714284
Sarfaraz Khan,KXIP,BAT,5.285714285714286
James Neesham,KXIP,ALL,6.5
Murugan Ashwin,KXIP,BALL,23.0
Mohammed Shami,KXIP,BALL,41.285714285714285
Sheldon Cottrell,KXIP,BALL,12.571428571428571
Ravi Bishnoi,KXIP,BALL,28.857142857142858
Devdutt Padikkal,RCB,BAT,50.357142857142854
Aaron Finch,RCB,BAT,25.071428571428573
Virat Kohli,RCB,BAT,42.92857142857143
W Sundar,RCB,ALL,29.0
Isuru Udana,RCB,BALL,18.714285714285715
Gurkeerat Singh,RCB,ALL,9.642857142857142
Adam Zampa,RCB,BALL,1.7857142857142858
Rohit Sharma,MI,BAT,29.0
De Kock,MI,WK,55.214285714285715
S.Yadav,MI,BAT,44.142857142857146
Ishan Kishan,MI,WK,41.92857142857143
Hardik Pandya,MI,ALL,27.785714285714285
Kieron Pollard,MI,ALL,36.285714285714285
Krunal Pandya,MI,ALL,22.785714285714285
Pattinson,MI,BALL,23.142857142857142
Rahul Chahar,MI,BALL,32.642857142857146
Boult,MI,BALL,42.714285714285715
Bumrah,MI,BALL,47.57142857142857
Warner,SRH,BAT,56.142857142857146
Bairstow,SRH,WK,39.714285714285715
Manish Pandey,SRH,BAT,40.92857142857143
Kane Williamson,SRH,BAT,22.214285714285715
Abdul Samad,SRH,BAT,12.214285714285714
Abhishek Sharma,SRH,ALL,12.357142857142858
Priyam Garg,SRH,BAT,16.714285714285715
Rashid Khan,SRH,BALL,44.785714285714285
Bhuvaneshwar Kumar,SRH,BALL,6.357142857142857
Natarajan,SRH,BALL,31.071428571428573
Khaleel Ahmed,SRH,BALL,16.285714285714285
P.Shaw,DC,BAT,25.785714285714285
Shikhar Dhawan,DC,BAT,52.92857142857143
Hetmeyer,DC,BAT,18.428571428571427
Shreyas Iyer,DC,BAT,42.5
Rishabh Pant,DC,WK,34.214285714285715
Marcus Stoinis,DC,ALL,40.214285714285715
Axar Patel,DC,ALL,28.785714285714285
Amit Mishra,DC,BALL,6.928571428571429
Rabada,DC,BALL,55.714285714285715
Nortje,DC,BALL,39.285714285714285
Ishant Sharma,DC,BALL,0.2857142857142857
Steve Smith,RR,BAT,32.642857142857146
Sanju Samson,RR,WK,44.714285714285715
Robin Uthappa,RR,BAT,21.071428571428573
Rahul Tewatia,RR,ALL,49.857142857142854
Riyag Parag,RR,ALL,10.714285714285714
Tom Curran,RR,BALL,13.071428571428571
Jofra Archer,RR,BALL,54.142857142857146
Shreyas Gopal,RR,BALL,24.714285714285715
Jaydev Unadkat,RR,BALL,8.928571428571429
Ankit Rajpoot,RR,BALL,4.928571428571429
Sunil Narine,KKR,ALL,23.571428571428573
Shubman Gill,KKR,BAT,45.42857142857143
Nitish Rana,KKR,ALL,36.214285714285715
Eoin Morgan,KKR,BAT,42.0
Dinesh Karthik,KKR,WK,23.357142857142858
Andre Russell,KKR,ALL,24.0
Kamlesh Nagarkoti,KKR,BALL,14.571428571428571
Pat Cummins,KKR,BALL,41.642857142857146
Kuldeep Yadav,KKR,BALL,4.214285714285714
Varun Chakravarthy,KKR,BALL,37.785714285714285
Shivam Mavi,KKR,BALL,22.0
Rohit Sharma,MI,BAT,29.0
De Kock,MI,WK,55.214285714285715
S.Yadav,MI,BAT,44.142857142857146
Ishan Kishan,MI,WK,41.92857142857143
Hardik Pandya,MI,ALL,27.785714285714285
Kieron Pollard,MI,ALL,36.285714285714285
Krunal Pandya,MI,ALL,22.785714285714285
Pattinson,MI,BALL,23.142857142857142
Rahul Chahar,MI,BALL,32.642857142857146
Boult,MI,BALL,42.714285714285715
Bumrah,MI,BALL,47.57142857142857
KL Rahul,KXIP,WK,69.71428571428571
Mayank Agarwal,KXIP,BAT,44.42857142857143
Karun Nair,KXIP,BAT,2.9285714285714284
Sarfaraz Khan,KXIP,BAT,5.285714285714286
James Neesham,KXIP,ALL,6.5
Mohammed Shami,KXIP,BALL,41.285714285714285
Sheldon Cottrell,KXIP,BALL,12.571428571428571
Ravi Bishnoi,KXIP,BALL,28.857142857142858
Warner,SRH,BAT,56.142857142857146
Bairstow,SRH,WK,39.714285714285715
Manish Pandey,SRH,BAT,40.92857142857143
Kane Williamson,SRH,BAT,22.214285714285715
Abdul Samad,SRH,ALL,12.214285714285714
Abhishek Sharma,SRH,ALL,12.357142857142858
Priyam Garg,SRH,BAT,16.714285714285715
Rashid Khan,SRH,BALL,44.785714285714285
Bhuvaneshwar Kumar,SRH,BALL,6.357142857142857
Natarajan,SRH,BALL,31.071428571428573
Khaleel Ahmed,SRH,BALL,16.285714285714285
Watson,CSK,BAT,31.0
Rayudu,CSK,BAT,35.5
Du Plesis,CSK,BAT,49.785714285714285
MS Dhoni,CSK,WK,30.714285714285715
Jadeja,CSK,ALL,38.142857142857146
Sam Curran,CSK,ALL,46.357142857142854
Piyush Chawla,CSK,BALL,11.857142857142858
Deepak Chahar,CSK,BALL,28.928571428571427
Jadhav,CSK,BAT,7.5
Devdutt Padikkal,RCB,BAT,50.357142857142854
Aaron Finch,RCB,BAT,25.071428571428573
Virat Kohli,RCB,BAT,42.92857142857143
W Sundar,RCB,ALL,29.0
Isuru Udana,RCB,BALL,18.714285714285715
Gurkeerat Singh,RCB,ALL,9.642857142857142
Adam Zampa,RCB,BALL,1.7857142857142858
Steve Smith,RR,BAT,32.642857142857146
Sanju Samson,RR,WK,44.714285714285715
Robin Uthappa,RR,BAT,21.071428571428573
Rahul Tewatia,RR,ALL,49.857142857142854
Riyag Parag,RR,ALL,10.714285714285714
Tom Curran,RR,BALL,13.071428571428571
Jofra Archer,RR,BALL,54.142857142857146
Shreyas Gopal,RR,BALL,24.714285714285715
Jaydev Unadkat,RR,BALL,8.928571428571429
Mahipal Lomror,RR,ALL,5.642857142857143
P.Shaw,DC,BAT,25.785714285714285
Shikhar Dhawan,DC,BAT,52.92857142857143
Hetmeyer,DC,BAT,18.428571428571427
Shreyas Iyer,DC,BAT,42.5
Rishabh Pant,DC,WK,34.214285714285715
Marcus Stoinis,DC,ALL,40.214285714285715
Ashwin,DC,BALL,25.428571428571427
Amit Mishra,DC,BALL,6.928571428571429
Rabada,DC,BALL,55.714285714285715
Nortje,DC,BALL,39.285714285714285
H Patel,DC,BALL,7.857142857142857
Sunil Narine,KKR,ALL,23.571428571428573
Shubman Gill,KKR,BAT,45.42857142857143
Nitish Rana,KKR,ALL,36.214285714285715
Eoin Morgan,KKR,BAT,42.0
Dinesh Karthik,KKR,WK,23.357142857142858
Andre Russell,KKR,ALL,24.0
Kamlesh Nagarkoti,KKR,BALL,14.571428571428571
Pat Cummins,KKR,BALL,41.642857142857146
Varun Chakravarthy,KKR,BALL,37.785714285714285
Shivam Mavi,KKR,BALL,22.0
Rohit Sharma,MI,BAT,29.0
De Kock,MI,WK,55.214285714285715
S.Yadav,MI,BAT,44.142857142857146
Ishan Kishan,MI,WK,41.92857142857143
Hardik Pandya,MI,ALL,27.785714285714285
Kieron Pollard,MI,ALL,36.285714285714285
Krunal Pandya,MI,ALL,22.785714285714285
Pattinson,MI,BALL,23.142857142857142
Rahul Chahar,MI,BALL,32.642857142857146
Boult,MI,BALL,42.714285714285715
Bumrah,MI,BALL,47.57142857142857
Warner,SRH,BAT,56.142857142857146
Bairstow,SRH,WK,39.714285714285715
Manish Pandey,SRH,BAT,40.92857142857143
Kane Williamson,SRH,BAT,22.214285714285715
Abdul Samad,SRH,ALL,12.214285714285714
Abhishek Sharma,SRH,ALL,12.357142857142858
Priyam Garg,SRH,BAT,16.714285714285715
Rashid Khan,SRH,BALL,44.785714285714285
Natarajan,SRH,BALL,31.071428571428573
Sandeep Sharma,SRH,BALL,27.142857142857142
KL Rahul,KXIP,WK,69.71428571428571
Mayank Agarwal,KXIP,BAT,44.42857142857143
Mandeep Singh,KXIP,BAT,13.857142857142858
Sarfaraz Khan,KXIP,BAT,5.285714285714286
H Brar,KXIP,BALL,0.0
Mohammed Shami,KXIP,BALL,41.285714285714285
Sheldon Cottrell,KXIP,BALL,12.571428571428571
Ravi Bishnoi,KXIP,BALL,28.857142857142858
Watson,CSK,BAT,31.0
Rayudu,CSK,BAT,35.5
Du Plesis,CSK,BAT,49.785714285714285
MS Dhoni,CSK,WK,30.714285714285715
Jadeja,CSK,ALL,38.142857142857146
Sam Curran,CSK,ALL,46.357142857142854
Piyush Chawla,CSK,BALL,11.857142857142858
Deepak Chahar,CSK,BALL,28.928571428571427
Jadhav,CSK,BAT,7.5
P.Shaw,DC,BAT,25.785714285714285
Shikhar Dhawan,DC,BAT,52.92857142857143
Hetmeyer,DC,BAT,18.428571428571427
Shreyas Iyer,DC,BAT,42.5
Rishabh Pant,DC,WK,34.214285714285715
Marcus Stoinis,DC,ALL,40.214285714285715
Ashwin,DC,BALL,25.428571428571427
Axar Patel,DC,ALL,28.785714285714285
Rabada,DC,BALL,55.714285714285715
Nortje,DC,BALL,39.285714285714285
H Patel,DC,BALL,7.857142857142857
Devdutt Padikkal,RCB,BAT,50.357142857142854
Aaron Finch,RCB,BAT,25.071428571428573
Virat Kohli,RCB,BAT,42.92857142857143
W Sundar,RCB,ALL,29.0
Isuru Udana,RCB,BALL,18.714285714285715
Mohammed Siraj,RCB,BALL,21.785714285714285
Rohit Sharma,MI,BAT,29.0
De Kock,MI,WK,55.214285714285715
S.Yadav,MI,BAT,44.142857142857146
Ishan Kishan,MI,WK,41.92857142857143
Hardik Pandya,MI,ALL,27.785714285714285
Kieron Pollard,MI,ALL,36.285714285714285
Krunal Pandya,MI,ALL,22.785714285714285
Pattinson,MI,BALL,23.142857142857142
Rahul Chahar,MI,BALL,32.642857142857146
Boult,MI,BALL,42.714285714285715
Bumrah,MI,BALL,47.57142857142857
Steve Smith,RR,BAT,32.642857142857146
Sanju Samson,RR,WK,44.714285714285715
Yashasvi Jaiswal,RR,BAT,5.428571428571429
Rahul Tewatia,RR,ALL,49.857142857142854
Mahipal Lomror,RR,ALL,5.642857142857143
Tom Curran,RR,BALL,13.071428571428571
Jofra Archer,RR,BALL,54.142857142857146
Shreyas Gopal,RR,BALL,24.714285714285715
Ankit Rajpoot,RR,BALL,4.928571428571429
Sunil Narine,KKR,ALL,23.571428571428573
Shubman Gill,KKR,BAT,45.42857142857143
Nitish Rana,KKR,ALL,36.214285714285715
Eoin Morgan,KKR,BAT,42.0
Dinesh Karthik,KKR,WK,23.357142857142858
Andre Russell,KKR,ALL,24.0
Kamlesh Nagarkoti,KKR,BALL,14.571428571428571
Pat Cummins,KKR,BALL,41.642857142857146
Varun Chakravarthy,KKR,BALL,37.785714285714285
Shivam Mavi,KKR,BALL,22.0
Watson,CSK,BAT,31.0
Rayudu,CSK,BAT,35.5
Du Plesis,CSK,BAT,49.785714285714285
MS Dhoni,CSK,WK,30.714285714285715
Jadeja,CSK,ALL,38.142857142857146
Sam Curran,CSK,ALL,46.357142857142854
Karn Sharma,CSK,BALL,9.785714285714286
Deepak Chahar,CSK,BALL,28.928571428571427
Jadhav,CSK,BAT,7.5
Warner,SRH,BAT,56.142857142857146
